Tanggal|KODE EFEK|Nama Saham|Haircut|Keterangan|Status
20260630|CLAY|CITRA PUTRA REALTY Tbk|95|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|CLEO|SARIGUNA PRIMATIRTA Tbk|20|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|CLPI|COLORPAK INDONESIA Tbk|85|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|CMNP|CITRA MARGA NUSAPHALA PERSADA Tbk|70|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|CMPP|AIRASIA INDONESIA Tbk|100|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|CNKO|EXPLOITASI ENERGI INDONESIA Tbk|100|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|CNTB|CENTEX Tbk SERI B COMPANY LISTING|100|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|CNTX|CENTEX Tbk SERI A PREFEREN|100|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|COCO|WAHANA INTERFOOD NUSANTARA Tbk|100|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|COWL|COWELL DEVELOPMENT Tbk|100|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|CPIN|CHAROEN POKPHAND INDONESIA Tbk|15|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|CPRI|CAPRI NUSA SATU PROPERTI Tbk|100|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|CPRO|CENTRAL PROTEINAPRIMA Tbk|40|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|CSAP|CATUR SENTOSA ADIPRANA Tbk|85|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|CSIS|CAHAYASAKTI INVESTINDO SUKSES Tbk|45|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|CSMI|CIPTA SELERA MURNI Tbk|85|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|CSRA|CISADANE SAWIT RAYA Tbk|45|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|CTBN|CITRA TUBINDO Tbk|85|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|CTRA|CIPUTRA DEVELOPMENT Tbk|15|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|CTTH|CITATAH  Tbk|100|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|DADA|DIAMOND CITRA PROPERTINDO Tbk|100|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|DART|DUTA ANGGADA REALTY Tbk|100|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
20260630|DAYA|DUTA INTIDAYA Tbk|100|PENG-0256/KOMITE HC/KPEI/0626 tgl. 29 Juni 2026|Bulanan
